auc,auc_ci_lo,auc_ci_hi,brier,ece,n_features,paradigm,filter
0.947926267281106,0.9200557671905321,0.9716093607238404,0.07604397736069894,0.03665845229647098,107,radiomics-3d,all
0.9479262672811061,0.9200173430740393,0.9721047948176925,0.07579227505015787,0.03638753606676537,106,radiomics-3d,icc>=0.50
0.9482614160033516,0.9211096758722954,0.9720206605210068,0.07627681011032875,0.04675497016783904,101,radiomics-3d,icc>=0.75
0.9416422287390029,0.912478825781021,0.9686778582715294,0.08029077164134357,0.035167657708954136,83,radiomics-3d,icc>=0.85
0.9467113531629662,0.9214644666211257,0.9706762802872859,0.08090569145182716,0.04573083428092885,67,radiomics-3d,icc>=0.90
0.9548806032677,0.9294282182366745,0.9758368875845254,0.0734364705362661,0.046028064220464834,102,radiomics-2d,all
0.9550481776288228,0.9303249833715376,0.9751685041324208,0.07398214759256741,0.04123633041847972,101,radiomics-2d,icc>=0.50
0.9519061583577713,0.9267541003822913,0.9732069597069597,0.07634499898747724,0.03953222243507371,93,radiomics-2d,icc>=0.75
0.951948051948052,0.926215354454194,0.9727346041055718,0.07680045510209417,0.056887400009564396,80,radiomics-2d,icc>=0.85
0.9548806032677,0.9304490094651899,0.9760509198197767,0.07441135265670928,0.030864422116149908,69,radiomics-2d,icc>=0.90
0.8976482830385015,0.861458659312575,0.9306510058727977,0.14415546807222443,0.12947046568229403,512,biomedclip,all
0.8976482830385015,0.861458659312575,0.9306510058727977,0.14415546807222443,0.12947046568229403,512,biomedclip,icc>=0.50
0.9003121748178979,0.8651141967706555,0.9326799676580128,0.14308974132425972,0.13122660622964105,463,biomedclip,icc>=0.75
0.9120915712799167,0.8748483106594408,0.9438479830750698,0.11505768610356198,0.06479696213423035,84,biomedclip,icc>=0.85
0.7943392299687825,0.7412564091875444,0.8427169444877429,0.2115002061985533,0.17054724473159255,2048,radimagenet,all
0.8002913631633715,0.7467267060697519,0.8490489790665078,0.20589278902686367,0.16968017062457652,1949,radimagenet,icc>=0.50
0.796462018730489,0.741326615589607,0.8454659482674189,0.20376289630056496,0.16705320854457098,1539,radimagenet,icc>=0.75
0.8022060353798126,0.7473992003003308,0.8490196312835878,0.19235585820512766,0.14714512600722374,1048,radimagenet,icc>=0.85
0.8174401664932363,0.7705655249480609,0.8629491828032247,0.18773630475770703,0.15112382123307838,647,radimagenet,icc>=0.90
