icc,ci_lo,ci_hi,icc3_consistency,icc3_ci_lo,icc3_ci_hi,paradigm,feature_name,stratum
0.935180365833056,0.92,0.94,0.9395528104401858,0.93,0.95,radiomics-3d,original_glcm_SumAverage,excellent
0.9501365583007914,0.93,0.96,0.9663907491476404,0.96,0.97,radiomics-3d,original_glcm_SumEntropy,excellent
0.957756076867556,0.95,0.97,0.963014410484458,0.96,0.97,radiomics-3d,original_glcm_SumSquares,excellent
0.8676795406195397,0.79,0.91,0.9328653009648642,0.92,0.94,radiomics-3d,original_gldm_DependenceEntropy,good
0.8434909299613859,0.78,0.89,0.8989329477634096,0.88,0.91,radiomics-3d,original_gldm_DependenceNonUniformity,good
0.9056651481014407,0.88,0.93,0.9251914152127642,0.91,0.94,radiomics-3d,original_gldm_DependenceNonUniformityNormalized,excellent
0.9456863213336927,0.93,0.96,0.9607160067651211,0.95,0.97,radiomics-3d,original_gldm_DependenceVariance,excellent
0.8681612025992365,0.82,0.9,0.9048009116990506,0.89,0.92,radiomics-3d,original_gldm_GrayLevelNonUniformity,good
0.9601369931571909,0.95,0.97,0.964717417601934,0.96,0.97,radiomics-3d,original_gldm_GrayLevelVariance,excellent
0.9407435671902973,0.93,0.95,0.9432862268022884,0.93,0.95,radiomics-3d,original_gldm_HighGrayLevelEmphasis,excellent
0.9671649416332183,0.95,0.98,0.9770758889332914,0.97,0.98,radiomics-3d,original_gldm_LargeDependenceEmphasis,excellent
0.8950961109214157,0.88,0.91,0.8998171275293145,0.89,0.91,radiomics-3d,original_gldm_LargeDependenceHighGrayLevelEmphasis,good
0.9522498748724229,0.94,0.96,0.9522760468239525,0.94,0.96,radiomics-3d,original_gldm_LargeDependenceLowGrayLevelEmphasis,excellent
0.8256793110951398,0.8,0.85,0.8415029102859454,0.82,0.86,radiomics-3d,original_gldm_LowGrayLevelEmphasis,good
0.9475647203667417,0.93,0.96,0.9567546828042247,0.95,0.96,radiomics-3d,original_gldm_SmallDependenceEmphasis,excellent
0.9746049149882456,0.97,0.98,0.9745873192431247,0.97,0.98,radiomics-3d,original_gldm_SmallDependenceHighGrayLevelEmphasis,excellent
0.7037092143933996,0.65,0.75,0.7483984534702053,0.72,0.78,radiomics-3d,original_gldm_SmallDependenceLowGrayLevelEmphasis,moderate
0.8738302712224977,0.82,0.91,0.9190137009440768,0.91,0.93,radiomics-3d,original_glrlm_GrayLevelNonUniformity,good
0.9515365174702659,0.94,0.96,0.9615180652189186,0.96,0.97,radiomics-3d,original_glrlm_GrayLevelNonUniformityNormalized,excellent
0.9587477383837235,0.95,0.97,0.9638453778199978,0.96,0.97,radiomics-3d,original_glrlm_GrayLevelVariance,excellent
0.9411065933013057,0.93,0.95,0.9438906724080801,0.94,0.95,radiomics-3d,original_glrlm_HighGrayLevelRunEmphasis,excellent
0.9632166585990705,0.95,0.97,0.9712611498622693,0.97,0.98,radiomics-3d,original_glrlm_LongRunEmphasis,excellent
0.9102895666556764,0.9,0.92,0.915166548253556,0.9,0.93,radiomics-3d,original_glrlm_LongRunHighGrayLevelEmphasis,excellent
0.9465036338925383,0.94,0.95,0.9466716117626971,0.94,0.95,radiomics-3d,original_glrlm_LongRunLowGrayLevelEmphasis,excellent
0.8316035343176847,0.8,0.86,0.8487486004386812,0.83,0.87,radiomics-3d,original_glrlm_LowGrayLevelRunEmphasis,good
0.9281368894338856,0.88,0.95,0.9614928213155347,0.96,0.97,radiomics-3d,original_glrlm_RunEntropy,excellent
0.8297951035880283,0.76,0.88,0.8914119037921606,0.88,0.91,radiomics-3d,original_glrlm_RunLengthNonUniformity,good
0.9683472787523602,0.96,0.98,0.9768617080416487,0.97,0.98,radiomics-3d,original_glrlm_RunLengthNonUniformityNormalized,excellent
0.9702721826566244,0.96,0.98,0.980590437525183,0.98,0.98,radiomics-3d,original_glrlm_RunPercentage,excellent
0.9434976435774562,0.93,0.95,0.9537808225673353,0.95,0.96,radiomics-3d,original_glrlm_RunVariance,excellent
0.9719128331113829,0.96,0.98,0.9774098818445285,0.97,0.98,radiomics-3d,original_glrlm_ShortRunEmphasis,excellent
0.9478733302658194,0.94,0.96,0.9500795974220255,0.94,0.96,radiomics-3d,original_glrlm_ShortRunHighGrayLevelEmphasis,excellent
0.8007171028407604,0.77,0.83,0.824890985157995,0.8,0.85,radiomics-3d,original_glrlm_ShortRunLowGrayLevelEmphasis,good
