paradigm,feature_name,icc3_1,icc3_1_ci_lo,icc3_1_ci_hi,stratum_from_icc2_1
radiomics-3d,original_glrlm_GrayLevelVariance,0.9638453778199978,0.96,0.97,excellent
radiomics-3d,original_glrlm_HighGrayLevelRunEmphasis,0.94389067240808,0.94,0.95,excellent
radiomics-3d,original_glrlm_LongRunEmphasis,0.9712611498622692,0.97,0.98,excellent
radiomics-3d,original_glrlm_LongRunHighGrayLevelEmphasis,0.915166548253556,0.9,0.93,excellent
radiomics-3d,original_glrlm_LongRunLowGrayLevelEmphasis,0.9466716117626972,0.94,0.95,excellent
radiomics-3d,original_glrlm_LowGrayLevelRunEmphasis,0.8487486004386812,0.83,0.87,good
radiomics-3d,original_glrlm_RunEntropy,0.9614928213155348,0.96,0.97,excellent
radiomics-3d,original_glrlm_RunLengthNonUniformity,0.8914119037921606,0.88,0.91,good
radiomics-3d,original_glrlm_RunLengthNonUniformityNormalized,0.9768617080416488,0.97,0.98,excellent
radiomics-3d,original_glrlm_RunPercentage,0.980590437525183,0.98,0.98,excellent
radiomics-3d,original_glrlm_RunVariance,0.9537808225673352,0.95,0.96,excellent
radiomics-3d,original_glrlm_ShortRunEmphasis,0.9774098818445284,0.97,0.98,excellent
radiomics-3d,original_glrlm_ShortRunHighGrayLevelEmphasis,0.9500795974220256,0.94,0.96,excellent
radiomics-3d,original_glrlm_ShortRunLowGrayLevelEmphasis,0.824890985157995,0.8,0.85,good
radiomics-3d,original_glszm_GrayLevelNonUniformity,0.9177434564471544,0.91,0.93,good
radiomics-3d,original_glszm_GrayLevelNonUniformityNormalized,0.9167605013600552,0.9,0.93,excellent
radiomics-3d,original_glszm_GrayLevelVariance,0.939230304866085,0.93,0.95,excellent
radiomics-3d,original_glszm_HighGrayLevelZoneEmphasis,0.9467360286330916,0.94,0.95,excellent
radiomics-3d,original_glszm_LargeAreaEmphasis,0.927029083504124,0.92,0.94,excellent
radiomics-3d,original_glszm_LargeAreaHighGrayLevelEmphasis,0.457541808361085,0.42,0.5,poor
radiomics-3d,original_glszm_LargeAreaLowGrayLevelEmphasis,0.9275677803032591,0.92,0.94,excellent
radiomics-3d,original_glszm_LowGrayLevelZoneEmphasis,0.8452968508911218,0.82,0.87,good
radiomics-3d,original_glszm_SizeZoneNonUniformity,0.8937813562043273,0.88,0.91,good
radiomics-3d,original_glszm_SizeZoneNonUniformityNormalized,0.8686480116742383,0.85,0.89,good
radiomics-3d,original_glszm_SmallAreaEmphasis,0.86291005886366,0.84,0.88,good
radiomics-3d,original_glszm_SmallAreaHighGrayLevelEmphasis,0.955503962900568,0.95,0.96,excellent
radiomics-3d,original_glszm_SmallAreaLowGrayLevelEmphasis,0.7459886532688051,0.72,0.78,moderate
